timepoint_id,sample_id,beta_param,gamma_param,I_sol,R_sol,S_sol,timepoint_days
0,0,0.027258872985839844,0.14276781678199768,1.0,1.4276781146183026e-11,1000.0,0.0
1,0,0.027258872985839844,0.14276781678199768,899.9790649414062,101.02116394042969,4.20033757109195e-06,1.0
2,0,0.027258872985839844,0.14276781678199768,780.2415161132812,220.758544921875,-1.0666001415415849e-10,2.0
3,0,0.027258872985839844,0.14276781678199768,676.4345703125,324.5655517578125,-5.020063253979856e-10,3.0
4,0,0.027258872985839844,0.14276781678199768,586.438720703125,414.56158447265625,-3.752927968392328e-10,4.0
0,1,0.027222976088523865,0.1401055008172989,1.0,1.4010549664877914e-11,1000.0,0.0
1,1,0.027222976088523865,0.1401055008172989,901.8048706054688,99.1951675415039,4.2601350287441164e-06,1.0
2,1,0.027222976088523865,0.1401055008172989,783.90869140625,217.09115600585938,-3.5329433822894885e-10,2.0
3,1,0.027222976088523865,0.1401055008172989,681.4254150390625,319.5743103027344,-5.552017734444803e-10,3.0
4,1,0.027222976088523865,0.1401055008172989,592.3406372070312,408.659423828125,-3.416813498802185e-10,4.0
0,2,0.027274256572127342,0.14179114997386932,1.0,1.4179115347123794e-11,1000.0,0.0
1,2,0.027274256572127342,0.14179114997386932,900.614013671875,100.3858642578125,4.110489498998504e-06,1.0
2,2,0.027274256572127342,0.14179114997386932,781.55517578125,219.44480895996094,-1.5655859941787753e-10,2.0
3,2,0.027274256572127342,0.14179114997386932,678.2354736328125,322.7645263671875,-6.167358845843296e-10,3.0
4,2,0.027274256572127342,0.14179114997386932,588.5743408203125,412.42559814453125,-3.8045389061380774e-10,4.0
0,3,0.02717742882668972,0.1394783854484558,1.0,1.3947838543859614e-11,1000.0,0.0
1,3,0.02717742882668972,0.1394783854484558,902.2794189453125,98.72061920166016,4.425994120538235e-06,1.0
2,3,0.02717742882668972,0.1394783854484558,784.8133544921875,216.1867218017578,-2.768811846465269e-10,2.0
3,3,0.02717742882668972,0.1394783854484558,682.6397705078125,318.3600769042969,-2.793305586834549e-10,3.0
4,3,0.02717742882668972,0.1394783854484558,593.7679443359375,407.23193359375,6.810765285081288e-10,4.0
0,4,0.027202656492590904,0.14229513704776764,1.0,1.4229514268271348e-11,1000.0,0.0
1,4,0.027202656492590904,0.14229513704776764,900.3630981445312,100.6368637084961,4.412476300785784e-06,1.0
2,4,0.027202656492590904,0.14229513704776764,780.943603515625,220.0562744140625,-1.5556578247810648e-10,2.0
3,4,0.027202656492590904,0.14229513704776764,677.3630981445312,323.636474609375,-2.1352386525563816e-10,3.0
4,4,0.027202656492590904,0.14229513704776764,587.5203857421875,413.47821044921875,6.23077589523291e-10,4.0
0,5,0.02717842161655426,0.13908636569976807,1.0,1.3908636395387752e-11,1000.0,0.0
1,5,0.02717842161655426,0.13908636569976807,902.5409545898438,98.45901489257812,4.409198936627945e-06,1.0
2,5,0.02717842161655426,0.13908636569976807,785.3489990234375,215.6514892578125,-2.2002977217994157e-10,2.0
3,5,0.02717842161655426,0.13908636569976807,683.37353515625,317.626708984375,-2.0148482882120788e-10,3.0
4,5,0.02717842161655426,0.13908636569976807,594.6382446289062,406.3610534667969,8.025757836094272e-10,4.0
0,6,0.027184169739484787,0.13973258435726166,1.0,1.3973259181676578e-11,1000.0,0.0
1,6,0.027184169739484787,0.13973258435726166,902.1012573242188,98.89896392822266,4.406572770676576e-06,1.0
2,6,0.027184169739484787,0.13973258435726166,784.4588623046875,216.5413055419922,1.8945971180794885e-10,2.0
3,6,0.027184169739484787,0.13973258435726166,682.158203125,318.8420104980469,-2.2873405947088088e-10,3.0
4,6,0.027184169739484787,0.13973258435726166,593.1985473632812,407.8017578125,-6.835297328144918e-10,4.0
0,7,0.027217989787459373,0.14051556587219238,1.0,1.405155679312653e-11,1000.0,0.0
1,7,0.027217989787459373,0.14051556587219238,901.535888671875,99.46397399902344,4.2931465031870175e-06,1.0
2,7,0.027217989787459373,0.14051556587219238,783.3538818359375,217.64622497558594,-2.163135226496138e-10,2.0
3,7,0.027217989787459373,0.14051556587219238,680.6641235351562,320.3359375,-6.461863266693513e-10,3.0
4,7,0.027217989787459373,0.14051556587219238,591.4359130859375,409.5641784667969,-2.674981347539074e-10,4.0
0,8,0.027172276750206947,0.140143483877182,1.0,1.4014347841928565e-11,1000.0,0.0
1,8,0.027172276750206947,0.140143483877182,901.8399047851562,99.16004180908203,4.469320174393943e-06,1.0
2,8,0.027172276750206947,0.140143483877182,783.9095458984375,217.09051513671875,-3.005759807717112e-10,2.0
3,8,0.027172276750206947,0.140143483877182,681.400634765625,319.599609375,-3.4674957349878355e-10,3.0
4,8,0.027172276750206947,0.140143483877182,592.2964477539062,408.7039489746094,-3.2383229431331984e-10,4.0
0,9,0.027224725112318993,0.1403678059577942,1.0,1.4036781285919897e-11,1000.0,0.0
1,9,0.027224725112318993,0.1403678059577942,901.6271362304688,99.37300872802734,4.261513822712004e-06,1.0
2,9,0.027224725112318993,0.1403678059577942,783.5487060546875,217.45144653320312,-2.2790838660746715e-11,2.0
3,9,0.027224725112318993,0.1403678059577942,680.9339599609375,320.06610107421875,-5.068484520975858e-10,3.0
4,9,0.027224725112318993,0.1403678059577942,591.7578735351562,409.2420959472656,-7.049444361584278e-10,4.0
