timepoint_id,sample_id,beta_param,gamma_param,Infected_sol,Recovered_sol,Susceptible_sol
0,0,0.026760263368487358,0.11966079473495483,1.0,1.1966080036562854e-11,1000.0
1,0,0.0,0.11966079473495483,0.8919777870178223,0.11331957578659058,999.9946899414062
2,0,0.0,0.11966079473495483,0.7913818955421448,0.21391549706459045,999.9946899414062
3,0,0.0,0.11966079473495483,0.7021306157112122,0.3031667470932007,999.9946899414062
4,0,0.0,0.11966079473495483,0.6229453682899475,0.38235193490982056,999.9946899414062
0,1,0.02710621803998947,0.14856088161468506,1.0,1.485608858153853e-11,1000.0
1,1,0.0,0.14856088161468506,0.8666286468505859,0.13872230052947998,999.99462890625
2,1,0.0,0.14856088161468506,0.7469881176948547,0.25836238265037537,999.99462890625
3,1,0.0,0.14856088161468506,0.6438645720481873,0.36148595809936523,999.99462890625
4,1,0.0,0.14856088161468506,0.554977536201477,0.4503730833530426,999.99462890625
0,2,0.02772081270813942,0.11229521036148071,1.0,1.1229520785471792e-11,1000.0
1,2,0.0,0.11229521036148071,0.8987441658973694,0.1067475825548172,999.9942016601562
2,2,0.0,0.11229521036148071,0.8032792806625366,0.2022119015455246,999.9942016601562
3,2,0.0,0.11229521036148071,0.7179558277130127,0.2875359058380127,999.9942626953125
4,2,0.0,0.11229521036148071,0.6416946649551392,0.36379697918891907,999.994140625
0,3,0.026671409606933594,0.15441228449344635,1.0,1.5441228157220266e-11,1000.0
1,3,0.0,0.15441228449344635,0.8614969849586487,0.14376415312290192,999.994384765625
2,3,0.0,0.15441228449344635,0.7382329702377319,0.26702824234962463,999.994384765625
3,3,0.0,0.15441228449344635,0.6326055526733398,0.37265563011169434,999.994384765625
4,3,0.0,0.15441228449344635,0.5420914888381958,0.4631696939468384,999.994384765625
0,4,0.02729935199022293,0.15458901226520538,1.0,1.5458901519993518e-11,1000.0
1,4,0.0,0.15458901226520538,0.8614543080329895,0.1439325511455536,999.9946899414062
2,4,0.0,0.15458901226520538,0.7380676865577698,0.2673207223415375,999.9946899414062
3,4,0.0,0.15458901226520538,0.6323506832122803,0.37303629517555237,999.9946899414062
4,4,0.0,0.15458901226520538,0.541777491569519,0.4636096656322479,999.9946899414062
0,5,0.026188569143414497,0.16446878015995026,1.0,1.644687858126659e-11,1000.0
1,5,0.0,0.16446878015995026,0.8527946472167969,0.15236583352088928,999.994873046875
2,5,0.0,0.16446878015995026,0.7234635949134827,0.28169724345207214,999.994873046875
3,5,0.0,0.16446878015995026,0.6137460470199585,0.3914145827293396,999.994873046875
4,5,0.0,0.16446878015995026,0.5206679105758667,0.4844928979873657,999.994873046875
0,6,0.027041438966989517,0.10875149816274643,1.0,1.0875149739075773e-11,1000.0
1,6,0.0,0.10875149816274643,0.9018124341964722,0.10354647040367126,999.99462890625
2,6,0.0,0.10875149816274643,0.8088838458061218,0.19647511839866638,999.99462890625
3,6,0.0,0.10875149816274643,0.7255315184593201,0.2798279821872711,999.99462890625
4,6,0.0,0.10875149816274643,0.6507672071456909,0.3545914888381958,999.99462890625
0,7,0.027523675933480263,0.1199408620595932,1.0,1.1994086279720761e-11,1000.0
1,7,0.0,0.1199408620595932,0.8918647170066833,0.11358465999364853,999.9945678710938
2,7,0.0,0.1199408620595932,0.7910594940185547,0.21438927948474884,999.9945678710938
3,7,0.0,0.1199408620595932,0.7016481161117554,0.3038007915019989,999.9945678710938
4,7,0.0,0.1199408620595932,0.6223424077033997,0.3831058144569397,999.9945678710938
0,8,0.02630152739584446,0.14862923324108124,1.0,1.4862923392033878e-11,1000.0
1,8,0.0,0.14862923324108124,0.8664294481277466,0.138761505484581,999.99462890625
2,8,0.0,0.14862923324108124,0.7467653155326843,0.2584253251552582,999.9942016601562
3,8,0.0,0.14862923324108124,0.6436300873756409,0.3615611493587494,999.9939575195312
4,8,0.0,0.14862923324108124,0.5547365546226501,0.4504546523094177,999.9948120117188
0,9,0.026197943836450577,0.15078240633010864,1.0,1.507824073931907e-11,1000.0
1,9,0.0,0.15078240633010864,0.8645492196083069,0.14062148332595825,999.99658203125
2,9,0.0,0.15078240633010864,0.7435427904129028,0.2616283595561981,999.9961547851562
3,9,0.0,0.15078240633010864,0.6394727230072021,0.3656984865665436,999.9961547851562
4,9,0.0,0.15078240633010864,0.5499688982963562,0.4552024006843567,999.9961547851562
0,10,0.02758616954088211,0.15166009962558746,1.0,1.5166010808309593e-11,1000.0
1,10,0.0,0.15166009962558746,0.8640293478965759,0.14141440391540527,999.9945678710938
2,10,0.0,0.15166009962558746,0.7424432635307312,0.26300016045570374,999.9945678710938
3,10,0.0,0.15166009962558746,0.6379683613777161,0.36747732758522034,999.9945678710938
4,10,0.0,0.15166009962558746,0.5481925010681152,0.45725128054618835,999.9945678710938
0,11,0.02759576588869095,0.15209123492240906,1.0,1.5209123890858045e-11,1000.0
1,11,0.0,0.15209123492240906,0.8636587262153625,0.14178693294525146,999.9945678710938
2,11,0.0,0.15209123492240906,0.7418048977851868,0.26364049315452576,999.9945678710938
3,11,0.0,0.15209123492240906,0.6371436715126038,0.3683018088340759,999.9945678710938
4,11,0.0,0.15209123492240906,0.5472490787506104,0.45819640159606934,999.9945678710938
0,12,0.0266970656812191,0.11186224967241287,1.0,1.1186223822234886e-11,1000.0
1,12,0.0,0.11186224967241287,0.8989498019218445,0.10633917897939682,999.9946899414062
2,12,0.0,0.11186224967241287,0.8038116097450256,0.20147736370563507,999.9947509765625
3,12,0.0,0.11186224967241287,0.7187420725822449,0.28654682636260986,999.9948120117188
