timepoint_id,sample_id,beta_param,gamma_param,I_sol,R_sol,S_sol
0,0,0.026614846661686897,0.1507263034582138,1.0,1.5072630643597762e-11,1000.0
1,0,0.0001,0.1507263034582138,3.4790666103363037,0.5097218155860901,997.0111694335938
2,0,0.0001,0.1507263034582138,3.301546573638916,1.0341086387634277,996.664306640625
3,0,0.0001,0.1507263034582138,3.132970094680786,1.531738519668579,996.3352661132812
4,0,0.0001,0.1507263034582138,2.972898006439209,2.0039596557617188,996.0231323242188
0,1,0.026980187743902206,0.17171558737754822,1.0,1.71715593133559e-11,1000.0
1,1,0.0001,0.17171558737754822,3.4423768520355225,0.5860245227813721,996.9716186523438
2,1,0.0001,0.17171558737754822,3.194462299346924,1.1771342754364014,996.62841796875
3,1,0.0001,0.17171558737754822,2.964292526245117,1.7256733179092407,996.31005859375
4,1,0.0001,0.17171558737754822,2.750612735748291,2.2346885204315186,996.0147094726562
0,2,0.026911256834864616,0.15058450400829315,1.0,1.5058451013905128e-11,1000.0
1,2,0.0001,0.15058450400829315,3.507819890975952,0.5132613182067871,996.9789428710938
2,2,0.0001,0.15058450400829315,3.3293187618255615,1.0414845943450928,996.6292114257812
3,2,0.0001,0.15058450400829315,3.1597847938537598,1.5428284406661987,996.2974243164062
4,2,0.0001,0.15058450400829315,2.9987785816192627,2.0186431407928467,995.9826049804688
0,3,0.026697788387537003,0.13213738799095154,1.0,1.3213739130657487e-11,1000.0
1,3,0.0001,0.13213738799095154,3.5499253273010254,0.44806578755378723,997.0020141601562
2,3,0.0001,0.13213738799095154,3.4347758293151855,0.9171436429023743,996.6480712890625
3,3,0.0001,0.13213738799095154,3.323239803314209,1.3710060119628906,996.3057250976562
4,3,0.0001,0.13213738799095154,3.215211868286133,1.81013023853302,995.974609375
0,4,0.026044651865959167,0.11350871622562408,1.0,1.1350871631510273e-11,1000.0
1,4,0.0001,0.11350871622562408,3.5485875606536865,0.37841567397117615,997.072998046875
2,4,0.0001,0.11350871622562408,3.4996120929718018,0.7812113165855408,996.7191772460938
3,4,0.0001,0.11350871622562408,3.451188564300537,1.1784477233886719,996.370361328125
4,4,0.0001,0.11350871622562408,3.4033148288726807,1.5701878070831299,996.0264892578125
0,5,0.026587776839733124,0.14148174226284027,1.0,1.4148174819206272e-11,1000.0
1,5,0.0001,0.14148174226284027,3.5076904296875,0.47823184728622437,997.0140991210938
2,5,0.0001,0.14148174226284027,3.361137866973877,0.9745059609413147,996.6643676757812
3,5,0.0001,0.14148174226284027,3.220590829849243,1.4500455856323242,996.3294067382812
4,5,0.0001,0.14148174226284027,3.085813045501709,1.905700445175171,996.0084838867188
0,6,0.02739533595740795,0.16400092840194702,1.0,1.6400093089119494e-11,1000.0
1,6,0.0001,0.16400092840194702,3.5077600479125977,0.5659376978874207,996.92626953125
2,6,0.0001,0.16400092840194702,3.282181978225708,1.1412136554718018,996.5765991210938
3,6,0.0001,0.16400092840194702,3.070995569229126,1.6794945001602173,996.2494506835938
4,6,0.0001,0.16400092840194702,2.8732972145080566,2.183140516281128,995.9435424804688
0,7,0.026322059333324432,0.12258148938417435,1.0,1.2258149356680903e-11,1000.0
1,7,0.0001,0.12258148938417435,3.5455210208892822,0.41162288188934326,997.0428466796875
2,7,0.0001,0.12258148938417435,3.464409351348877,0.8462381362915039,996.6893310546875
3,7,0.0001,0.12258148938417435,3.385030746459961,1.270910620689392,996.3440551757812
4,7,0.0001,0.12258148938417435,3.307354211807251,1.6858526468276978,996.0067749023438
0,8,0.027363218367099762,0.17321552336215973,1.0,1.7321552178706234e-11,1000.0
1,8,0.0001,0.17321552336215973,3.473024845123291,0.5970912575721741,996.9298706054688
2,8,0.0001,0.17321552336215973,3.217679262161255,1.1986730098724365,996.5836181640625
3,8,0.0001,0.17321552336215973,2.9809958934783936,1.7560250759124756,996.2630004882812
4,8,0.0001,0.17321552336215973,2.761626720428467,2.2723798751831055,995.9660034179688
0,9,0.026794200763106346,0.16993248462677002,1.0,1.699324882198372e-11,1000.0
1,9,0.0001,0.16993248462677002,3.431033134460449,0.5771219730377197,996.9918212890625
2,9,0.0001,0.16993248462677002,3.1900603771209717,1.1601660251617432,996.6497802734375
3,9,0.0001,0.16993248462677002,2.965902805328369,1.7022608518600464,996.331787109375
4,9,0.0001,0.16993248462677002,2.757401943206787,2.206264019012451,996.0363159179688
0,10,0.026838816702365875,0.14423257112503052,1.0,1.4423257727047556e-11,1000.0
1,10,0.0001,0.14423257112503052,3.522493600845337,0.4907531440258026,996.9867553710938
2,10,0.0001,0.14423257112503052,3.3656232357025146,0.9988114833831787,996.6355590820312
3,10,0.0001,0.14423257112503052,3.215620756149292,1.4842439889907837,996.3001098632812
4,10,0.0001,0.14423257112503052,3.0721957683563232,1.9480412006378174,995.979736328125
0,11,0.027905477210879326,0.10289318859577179,1.0,1.028931887608886e-11,1000.0
1,11,0.0001,0.10289318859577179,3.769465684890747,0.36035585403442383,996.8701782226562
2,11,0.0001,0.10289318859577179,3.757380247116089,0.748208224773407,996.4944458007812
3,11,0.0001,0.10289318859577179,3.745192289352417,1.1348170042037964,996.1199951171875
4,11,0.0001,0.10289318859577179,3.732903480529785,1.5201717615127563,995.7469482421875
0,12,0.026370462030172348,0.1298733949661255,1.0,1.2987339502446016e-11,1000.0
