1.256609230361429898e-19 6.345191039258679666e-09 2.641875340714250342e-08 6.631878335383589729e-08 1.339142556844308274e-07
1.167258860804071097e-19 5.863863616895059749e-09 2.450886427141085733e-08 6.177712918997713132e-08 1.252423231790089631e-07
1.164954904304169492e-19 5.723581608663153020e-09 2.382393127220439055e-08 5.994709084689020528e-08 1.214219906842117780e-07
1.166400660918547331e-19 6.076672498522839305e-09 2.555347222710224742e-08 6.482949288511008490e-08 1.325115306372026680e-07
1.259690219649248504e-19 6.285644449377514320e-09 2.624834039011147979e-08 6.619995218670737813e-08 1.343767621619917918e-07
1.274328860798993577e-19 6.767634452842230530e-09 2.835750301244388538e-08 7.121148826172429835e-08 1.434121230659002322e-07
1.191210650922368282e-19 5.763913790701735707e-09 2.430409473674899345e-08 6.227092796962097054e-08 1.288950954858592013e-07
1.232301494085793489e-19 6.029016841324619236e-09 2.521202802086008887e-08 6.362907356560754124e-08 1.290833750999809126e-07
1.196892735495754025e-19 6.040799416240361097e-09 2.488749295537218131e-08 6.159043408615616499e-08 1.222187222538195783e-07
1.272942040803260141e-19 6.828855259044530612e-09 2.848207891759102495e-08 7.154828551847458584e-08 1.447789657049725065e-07
1.139975471521745882e-19 6.136922525712407150e-09 2.598220483207569487e-08 6.619973191845929250e-08 1.357701222559626331e-07
1.118466578396865069e-19 5.850808726393097459e-09 2.386013164823452826e-08 5.875100228536211944e-08 1.166348013725837518e-07
1.258019702552803522e-19 6.064000412919767768e-09 2.531574061492847250e-08 6.368615856899850769e-08 1.285555697450035950e-07
1.141188583588843182e-19 5.577121431343812219e-09 2.347849381578726025e-08 5.993517504521150840e-08 1.234224669133254793e-07
1.220827206519975881e-19 6.407140595854343701e-09 2.680180877234761283e-08 6.757427684078720631e-08 1.371885645085058059e-07
1.110290027288749101e-19 5.878315612051210337e-09 2.457901970842613082e-08 6.210976977172322222e-08 1.266858475901244674e-07
1.175417575830228890e-19 5.607827979758894799e-09 2.327899473186789692e-08 5.857101470496672846e-08 1.187640137345624680e-07
1.175856110801852706e-19 5.946624970221137119e-09 2.514996566560512292e-08 6.438361310756590683e-08 1.329804746319496189e-07
1.134955002191431850e-19 5.954587489753748741e-09 2.465807646956363897e-08 6.132271579417647445e-08 1.224750292294629617e-07
1.235073324619670400e-19 6.156821275027368756e-09 2.548349620212775335e-08 6.351251613523345441e-08 1.271104395073052729e-07
1.138004455218396871e-19 5.808527880901692697e-09 2.455309200399824476e-08 6.262321505801082822e-08 1.285760902192123467e-07
1.126329447107064442e-19 5.982932371750848688e-09 2.542118693327211076e-08 6.519740480825930717e-08 1.348672924450511346e-07
1.258093502573079737e-19 5.892162757703545140e-09 2.464055270934295550e-08 6.232753690937897773e-08 1.267307965235886513e-07
1.211418027052185191e-19 5.859756679882366370e-09 2.451425729077527649e-08 6.193954504851717502e-08 1.258363795386685524e-07
1.181646116595782477e-19 5.381148415750658387e-09 2.231636919702850719e-08 5.624971777251630556e-08 1.142787553476409812e-07
1.165701434806998600e-19 5.544582570848888281e-09 2.287531764011419000e-08 5.707751071781785868e-08 1.145393682122630707e-07
