timepoint_id,sample_id,model_0/beta_param,model_0/delta_param,model_0/alpha_param,model_1/beta_param,model_1/gamma_param,model_0_weight,model_1_weight,model_0/total_population_param,model_0/pS_param,model_0/dnh_param,model_0/gamma_param,model_0/hosp_param,model_0/dh_param,model_0/los_param,model_0/tau_param,model_1/total_population_param,model_1/dnh_param,model_1/hosp_param,model_1/dh_param,model_1/los_param,Infected_sol,Hospitalizations_sol,timepoint_days
0,0,0.5468855500221252,1.3156936168670654,3.961477518081665,0.5475817322731018,0.1720857471227646,0.5730299353599548,0.42697006464004517,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,1.0,1.8808147313892354e-12,0.0
1,0,0.5468855500221252,1.3156936168670654,3.961477518081665,0.5475817322731018,0.1720857471227646,0.5730299353599548,0.42697006464004517,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,1.1331596374511719,0.018203750252723694,1.0
2,0,0.5468855500221252,1.3156936168670654,3.961477518081665,0.5475817322731018,0.1720857471227646,0.5730299353599548,0.42697006464004517,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,1.431360125541687,0.03701262176036835,2.0
3,0,0.5468855500221252,1.3156936168670654,3.961477518081665,0.5475817322731018,0.1720857471227646,0.5730299353599548,0.42697006464004517,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,1.9077389240264893,0.058967407792806625,3.0
4,0,0.5468855500221252,1.3156936168670654,3.961477518081665,0.5475817322731018,0.1720857471227646,0.5730299353599548,0.42697006464004517,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,2.6086275577545166,0.08679606020450592,4.0
0,1,0.5474178194999695,1.295926570892334,4.180168628692627,0.5590459108352661,0.17715862393379211,0.5201554894447327,0.47984451055526733,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,1.0,1.8903971270300968e-12,0.0
1,1,0.5474178194999695,1.295926570892334,4.180168628692627,0.5590459108352661,0.17715862393379211,0.5201554894447327,0.47984451055526733,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,1.1649965047836304,0.01862645335495472,1.0
2,1,0.5474178194999695,1.295926570892334,4.180168628692627,0.5590459108352661,0.17715862393379211,0.5201554894447327,0.47984451055526733,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,1.5000522136688232,0.03852216899394989,2.0
3,1,0.5474178194999695,1.295926570892334,4.180168628692627,0.5590459108352661,0.17715862393379211,0.5201554894447327,0.47984451055526733,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,2.0298519134521484,0.062389861792325974,3.0
4,1,0.5474178194999695,1.295926570892334,4.180168628692627,0.5590459108352661,0.17715862393379211,0.5201554894447327,0.47984451055526733,100000.0,0.699999988079071,0.0010000000474974513,0.20000000298023224,0.10000000149011612,0.10000000149011612,7.0,30.0,100000.0,0.0010000000474974513,0.10000000149011612,0.10000000149011612,7.0,2.8138632774353027,0.09331415593624115,4.0
