timezero,unit,target,value
2022-10-03,NJ,1 wk ahead inc flu hosp,28
2022-10-03,DE,1 wk ahead inc flu hosp,0
2022-10-03,MD,1 wk ahead inc flu hosp,21
2022-10-03,NY,1 wk ahead inc flu hosp,38
2022-10-03,OH,1 wk ahead inc flu hosp,18
2022-10-03,WV,1 wk ahead inc flu hosp,5
2022-10-10,NJ,1 wk ahead inc flu hosp,31
2022-10-10,DE,1 wk ahead inc flu hosp,0
2022-10-10,MD,1 wk ahead inc flu hosp,25
2022-10-10,NY,1 wk ahead inc flu hosp,49
2022-10-10,OH,1 wk ahead inc flu hosp,32
2022-10-10,WV,1 wk ahead inc flu hosp,12
2022-10-17,NJ,1 wk ahead inc flu hosp,32
2022-10-17,DE,1 wk ahead inc flu hosp,1
2022-10-17,MD,1 wk ahead inc flu hosp,49
2022-10-17,NY,1 wk ahead inc flu hosp,49
2022-10-17,OH,1 wk ahead inc flu hosp,39
2022-10-17,WV,1 wk ahead inc flu hosp,23
2022-10-24,NJ,1 wk ahead inc flu hosp,76
2022-10-24,DE,1 wk ahead inc flu hosp,4
2022-10-24,MD,1 wk ahead inc flu hosp,109
2022-10-24,NY,1 wk ahead inc flu hosp,107
2022-10-24,OH,1 wk ahead inc flu hosp,115
2022-10-24,WV,1 wk ahead inc flu hosp,66
2022-10-31,NJ,1 wk ahead inc flu hosp,183
2022-10-31,DE,1 wk ahead inc flu hosp,11
2022-10-31,MD,1 wk ahead inc flu hosp,165
2022-10-31,NY,1 wk ahead inc flu hosp,206
2022-10-31,OH,1 wk ahead inc flu hosp,211
2022-10-31,WV,1 wk ahead inc flu hosp,84
2022-11-07,NJ,1 wk ahead inc flu hosp,309
2022-11-07,DE,1 wk ahead inc flu hosp,15
2022-11-07,MD,1 wk ahead inc flu hosp,224
2022-11-07,NY,1 wk ahead inc flu hosp,300
2022-11-07,OH,1 wk ahead inc flu hosp,244
2022-11-07,WV,1 wk ahead inc flu hosp,130
2022-11-14,NJ,1 wk ahead inc flu hosp,324
2022-11-14,DE,1 wk ahead inc flu hosp,53
2022-11-14,MD,1 wk ahead inc flu hosp,218
2022-11-14,NY,1 wk ahead inc flu hosp,508
2022-11-14,OH,1 wk ahead inc flu hosp,329
2022-11-14,WV,1 wk ahead inc flu hosp,135
2022-11-21,NJ,1 wk ahead inc flu hosp,581
2022-11-21,DE,1 wk ahead inc flu hosp,48
2022-11-21,MD,1 wk ahead inc flu hosp,332
2022-11-21,NY,1 wk ahead inc flu hosp,871
2022-11-21,OH,1 wk ahead inc flu hosp,646
2022-11-21,WV,1 wk ahead inc flu hosp,209
2022-11-28,NJ,1 wk ahead inc flu hosp,892
2022-11-28,DE,1 wk ahead inc flu hosp,79
2022-11-28,MD,1 wk ahead inc flu hosp,405
2022-11-28,NY,1 wk ahead inc flu hosp,1350
2022-11-28,OH,1 wk ahead inc flu hosp,966
2022-11-28,WV,1 wk ahead inc flu hosp,320
2022-12-05,NJ,1 wk ahead inc flu hosp,738
2022-12-05,DE,1 wk ahead inc flu hosp,28
2022-12-05,MD,1 wk ahead inc flu hosp,319
2022-12-05,NY,1 wk ahead inc flu hosp,1531
2022-12-05,OH,1 wk ahead inc flu hosp,952
2022-12-05,WV,1 wk ahead inc flu hosp,236
2022-12-12,NJ,1 wk ahead inc flu hosp,601
2022-12-12,DE,1 wk ahead inc flu hosp,27
2022-12-12,MD,1 wk ahead inc flu hosp,278
2022-12-12,NY,1 wk ahead inc flu hosp,1741
2022-12-12,OH,1 wk ahead inc flu hosp,981
2022-12-12,WV,1 wk ahead inc flu hosp,199
2022-12-19,NJ,1 wk ahead inc flu hosp,522
2022-12-19,DE,1 wk ahead inc flu hosp,29
2022-12-19,MD,1 wk ahead inc flu hosp,227
2022-12-19,NY,1 wk ahead inc flu hosp,1485
2022-12-19,OH,1 wk ahead inc flu hosp,786
2022-12-19,WV,1 wk ahead inc flu hosp,148
2022-12-26,NJ,1 wk ahead inc flu hosp,505
2022-12-26,DE,1 wk ahead inc flu hosp,46
2022-12-26,MD,1 wk ahead inc flu hosp,221
2022-12-26,NY,1 wk ahead inc flu hosp,1273
2022-12-26,OH,1 wk ahead inc flu hosp,695
2022-12-26,WV,1 wk ahead inc flu hosp,188
2023-01-02,NJ,1 wk ahead inc flu hosp,316
2023-01-02,DE,1 wk ahead inc flu hosp,41
2023-01-02,MD,1 wk ahead inc flu hosp,161
2023-01-02,NY,1 wk ahead inc flu hosp,797
2023-01-02,OH,1 wk ahead inc flu hosp,429
2023-01-02,WV,1 wk ahead inc flu hosp,138
2023-01-09,NJ,1 wk ahead inc flu hosp,157
2023-01-09,DE,1 wk ahead inc flu hosp,11
2023-01-09,MD,1 wk ahead inc flu hosp,102
2023-01-09,NY,1 wk ahead inc flu hosp,425
2023-01-09,OH,1 wk ahead inc flu hosp,181
2023-01-09,WV,1 wk ahead inc flu hosp,37
2023-01-16,NJ,1 wk ahead inc flu hosp,102
2023-01-16,DE,1 wk ahead inc flu hosp,5
