Timestamp,hosp,icu,dead
0,310.66251897564905,97.60492363260752,5800.0
1,305.65593854007875,98.22123926902731,5801.0
2,302.2025685950929,99.08799875035413,5810.0
3,299.88623697032733,99.98610805021033,5820.0
4,298.2907714954178,100.6964731422182,5820.0
5,297.0,101.0,5820.0
6,295.6632384517646,100.72911261691448,5838.0
7,294.1917553706204,99.92230706526584,5843.0
8,292.56230741453135,98.66959743709482,5889.0
9,290.751651241461,97.06099782444207,5898.0
10,288.7365435093732,95.18652231934823,5902.0
11,286.49374087623164,93.13618501385399,5902.0
12,284.0,91.0,5902.0
13,281.27416178841236,88.86447072026323,5911.0
14,278.50340414828355,86.80205801886554,5920.0
15,275.9169892361986,84.88171209046516,5930.0
16,273.7441792087427,83.17238312972022,5938.0
17,272.2142362225009,81.74302133128894,5939.0
18,271.55642243405833,80.66257688982948,5939.0
19,272.0,80.0,5939.0
20,273.694924890213,79.81008905013768,5939.0
21,276.4739283277909,80.09103520329539,5960.0
22,280.09043534912934,80.82687781620501,5973.0
23,284.2978709906239,82.00165624559843,5986.0
24,288.8496602886701,83.59940984820747,5997.0
25,293.4992282796637,85.60417798076406,5997.0
26,298.0,88.0,5997.0
27,302.20269841749985,90.75814684011908,6000.0
28,306.34723822568446,93.79881574521247,6022.0
29,310.77083204950014,97.02943553684318,6027.0
30,315.8106925138932,100.35743503657423,6036.0
31,321.80403224380996,103.6902430659687,6042.0
32,329.0880638641968,106.93528844658962,6042.0
33,338.0,110.0,6042.0
34,348.82081205203264,112.8424547847213,6043.0
35,361.6065065245736,115.62332280710845,6056.0
36,376.35684869776844,118.55392231047485,6063.0
37,393.0716038517629,121.84557153813385,6066.0
38,411.7505372667026,125.70958873339879,6066.0
39,432.39341422273316,130.35729213958308,6078.0
40,455.0,136.0,6078.0
41,479.5461233452155,142.77582410845935,6089.0
42,505.9118668713569,150.5300504607561,6097.0
43,533.9533766579688,159.03475860318167,6100.0
44,563.5267987845948,168.06202808202747,6119.0
45,594.4882793307792,177.38393844358484,6122.0
46,626.6939643760664,186.77256923414527,6122.0
47,660.0,196.0,6122.0
48,694.2891552085053,204.89972983100412,6127.0
49,729.5506907130311,213.5509359912667,6136.0
50,765.8004901514067,222.0942152884604,6145.0
51,803.0544371614618,230.67016453025792,6155.0
52,841.3284153810259,239.41938052433187,6168.0
53,880.6383084479289,248.48246007835505,6168.0
54,921.0,258.0,6168.0
55,962.3672266662442,268.06840525557095,6177.0
56,1004.4451370403673,278.6073134458973,6187.0
57,1046.87673270725,289.4921703304404,6204.0
58,1089.305015251774,300.5984216686612,6215.0
59,1131.3729862588195,311.8015132200207,6239.0
60,1172.7236473132677,322.97689074398,6239.0
61,1213.0,334.0,6239.0
