Date,cRNA2,F2
'27-Feb-2021',294631.8013,1317323301
'28-Feb-2021',265767.8415,1420286501
'01-Mar-2021',309347.7141,1401359442
'02-Mar-2021',230314.581,1507350972
'03-Mar-2021',270256.4107,1404766313
'04-Mar-2021',525196.2875,1373725936
'05-Mar-2021',331152.2489,1320730171
'06-Mar-2021',253520.2659,1285904383
'07-Mar-2021',233694.8471,1220416759
'08-Mar-2021',321050.0187,1185969512
'09-Mar-2021',214129.9311,1154929135
'10-Mar-2021',196133.9946,1123888759
'11-Mar-2021',239032.975,1126538547
'12-Mar-2021',315730.5971,1150765182
'13-Mar-2021',304106.3074,1123131676
'14-Mar-2021',280511.6803,1119346265
'15-Mar-2021',355998.496,1111775441
'16-Mar-2021',276308.0958,1093226923
'17-Mar-2021',249007.3707,1068243205
'18-Mar-2021',353454.239,1056129888
'19-Mar-2021',255125.9323,1450948337
'20-Mar-2021',342207.3933,1132973747
'21-Mar-2021',434223.6413,1070135911
'22-Mar-2021',397711.3839,1075814029
'23-Mar-2021',271573.9157,1053480099
'24-Mar-2021',316558.7899,1037959911
'25-Mar-2021',234462.0298,1030010546
'26-Mar-2021',257663.3555,1045909276
'27-Mar-2021',352431.2115,1040609699
'28-Mar-2021',291653.7661,1014111817
'29-Mar-2021',336317.433,1561103820
'30-Mar-2021',256790.1491,1134109370
'31-Mar-2021',186672.2205,1076949653
'01-Apr-2021',358845.7751,1573595679
'02-Apr-2021',318375.328,1553154455
'03-Apr-2021',206955.8006,1287040007
'04-Apr-2021',304367.3706,1237451112
'05-Apr-2021',311809.331,1199975536
'06-Apr-2021',308085.7857,1196947206
'07-Apr-2021',228255.9719,1158336006
'08-Apr-2021',250764.5629,1141680194
'09-Apr-2021',325805.6874,1138273323
'10-Apr-2021',372477.8447,1112153982
'11-Apr-2021',355376.264,1115182312
'12-Apr-2021',276811.5831,1111018359
'13-Apr-2021',198746.9256,1084899017
'14-Apr-2021',280360.1088,1059915300
'15-Apr-2021',266496.1881,1030010546
'16-Apr-2021',199327.4517,1309752477
'17-Apr-2021',231199.2806,2643353049
'18-Apr-2021',275347.3895,1781036244
'19-Apr-2021',169803.6628,1532334690
'20-Apr-2021',154572.0399,1434671066
'21-Apr-2021',170177.039,1371833231
'22-Apr-2021',214186.8027,1508865137
'23-Apr-2021',126899.5209,1319216007
'24-Apr-2021',192994.42,1289689795
'25-Apr-2021',194867.7624,1224959253
'26-Apr-2021',170536.8413,1254106924
'27-Apr-2021',115792.4382,1202625324
'28-Apr-2021',121488.3641,1229123206
'29-Apr-2021',170328.8905,1188240759
'30-Apr-2021',108546.0366,1770437091
'01-May-2021',97637.74811,1452083960
'02-May-2021',134240.1496,1292339583
'03-May-2021',78821.62531,1240857983
'04-May-2021',85441.39369,1461168949
'05-May-2021',105428.5029,1740910879
'06-May-2021',97551.99618,1649303914
'07-May-2021',65465.34768,1449812713
'08-May-2021',57277.22509,1367669278
'09-May-2021',67733.54258,1317323301
'10-May-2021',71644.65875,1364640948
'11-May-2021',29471.79939,1352149089
'12-May-2021',46064.73484,1259406501
'13-May-2021',65739.76158,1210196147
