X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0.336163632,0.791542528,0.409653376,0.285521834,0.64323047,0.810239171,0.533291213,0.326568271,0.158715466,0.102828076,0.165442232,0.220140684,0.113027748,0.056683235,0.016029931,0.010541926
0.519119593,0.543892914,0.719242014,0.322539678,0.174922947,0.627412736,0.699354465,0.484188038,0.256075996,0.11226015,0.098498831,0.170085402,0.106873158,0.056755741,0.02044932,0.010761825
0.270512102,0.742169936,0.710396049,0.568332206,0.159173237,0.186666482,0.378116398,0.492017692,0.310465581,0.138336726,0.074723787,0.062609104,0.043645388,0.047485602,0.023904851,0.009127921
0.186456943,0.292302368,0.614094847,0.704749776,0.431020353,0.181185491,0.116366657,0.372061798,0.358411482,0.25282504,0.173815978,0.097025029,0.048401769,0.033508167,0.014405777,0.007584237
0.410101872,0.192304606,0.16903529,0.619919457,0.553305718,0.548777564,0.135617488,0.079824796,0.177522604,0.234763523,0.197111663,0.15725248,0.042886268,0.017372829,0.009380884,0.006357
0.754403434,0.374141624,0.14063975,0.231406211,0.575396943,0.426874894,0.343315324,0.101110656,0.046094923,0.104954707,0.213187554,0.162247607,0.081845724,0.03164476,0.005115871,0.006588894
0.556902235,0.864390747,0.573452549,0.140441527,0.202241898,0.488234998,0.233280578,0.319159809,0.121542875,0.044211047,0.092167428,0.133861122,0.113553511,0.033443663,0.015336808,0.006036903
0.37068582,0.74224317,0.810039016,0.456872681,0.110378465,0.132528336,0.273852946,0.198452796,0.191244677,0.067793477,0.048012598,0.065940095,0.091165148,0.059794056,0.023667428,0.006566277
0.219179979,0.437391732,0.641569275,0.639873186,0.25235635,0.094411972,0.165187826,0.251433143,0.114206882,0.154970625,0.064943503,0.025097079,0.056182787,0.063310087,0.021633323,0.011515799
0.142840257,0.218016734,0.338907044,0.593387471,0.433840101,0.171140016,0.0609345,0.143145343,0.16615767,0.098743749,0.113579148,0.049273887,0.020277944,0.019456242,0.01560716,0.016352864
0.359581276,0.205399905,0.270977456,0.444513282,0.580561884,0.445502467,0.209176448,0.083774931,0.118336002,0.12885521,0.088402951,0.220138387,0.044029959,0.014077095,0.013343662,0.016584422
0.629056952,0.478655279,0.250758614,0.407587376,0.496968098,0.651081934,0.472643351,0.178340817,0.082582397,0.144233216,0.280186661,0.08842445,0.124747707,0.04961502,0.008826507,0.012205134
0.554842921,0.432245779,0.241032425,0.244150447,0.235342173,0.367236607,0.438356832,0.329227617,0.137711958,0.048996184,0.111822804,0.163020943,0.043761242,0.084270106,0.020219258,0.002813945
0.35166331,0.453068458,0.364287758,0.216311262,0.211867835,0.256586897,0.439508649,0.483262094,0.336303096,0.087452475,0.075591616,0.113259636,0.112061238,0.036252,0.042759994,0.009289202
0.135402896,0.340640771,0.269331189,0.25344292,0.066647823,0.176201189,0.150164185,0.326628864,0.266658015,0.167842709,0.096871133,0.05381806,0.085943131,0.063811263,0.017076308,0.036298252
0.220139971,0.280371591,0.411532423,0.414953293,0.137062383,0.126158061,0.175398463,0.382174302,0.347322356,0.268414614,0.244777237,0.108669846,0.036830594,0.088996385,0.060742829,0.014742249
