X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
2.353049014,1.591936373,0.816546338,0.590493748,1.117236987,1.456551997,1.234775686,0.884875354,0.504735997,0.338567269,0.411107901,0.407958071,0.225969427,0.151330961,0.071378858,0.033979185
1.397686185,10.63984555,2.22042518,0.693464281,0.477456113,1.188494738,1.349462335,1.127640535,0.782097015,0.36126276,0.279587265,0.312669583,0.221451644,0.138872335,0.056629446,0.034581602
0.544501729,3.377579186,11.262449,1.598397416,0.720400534,0.639215082,0.880855016,1.047802328,0.91789683,0.500448445,0.28941248,0.179894277,0.11190704,0.112861361,0.066998136,0.042689547
0.341783114,0.834409335,4.577041968,13.73977078,2.419990906,1.08400735,0.748040011,1.061099859,1.025873124,0.806560281,0.437937103,0.226014473,0.109983109,0.071664259,0.035126861,0.01996793
0.617309158,0.486345655,0.606157843,4.206378907,5.396940603,2.425323592,1.318519677,1.035970749,0.880711102,0.885079963,0.621725863,0.387668738,0.135639904,0.051802899,0.043630119,0.030516979
1.061624527,0.67504863,0.356829798,1.184255975,2.844054062,3.09668,1.864119912,1.291576213,0.991806998,0.807405113,0.768368676,0.438975009,0.19146037,0.062784987,0.022405491,0.015509564
0.850644091,1.509250666,1.158741056,0.650187158,1.224265199,1.957945144,2.023636918,1.686729929,1.167274439,0.828697107,0.659828099,0.48053436,0.248473416,0.080894675,0.037592564,0.024657209
0.629021083,1.278566741,1.198481134,0.913856611,0.782465276,1.295534418,1.600840812,1.840621889,1.566104067,0.945922597,0.659170683,0.376021473,0.236390423,0.129829144,0.061268969,0.019967036
0.37588103,0.772894972,1.07338071,1.331835298,0.949385992,1.033451968,1.322695813,1.480521197,1.555214585,1.155548012,0.788201588,0.291676852,0.19129711,0.106209781,0.051985382,0.023063916
0.250449577,0.565398833,0.611579752,1.455544547,0.896649726,0.855498283,0.937562214,1.0883241,1.101819614,0.973124427,0.720005228,0.346271305,0.124228902,0.05162002,0.041096397,0.034073898
0.434859784,0.725904276,0.856063609,1.214097566,1.11742176,1.250846873,1.0068109,0.888124653,1.140326795,1.131464939,0.843317629,0.63512152,0.184841136,0.052378388,0.037105468,0.031011945
0.765660737,0.908650054,0.649384034,0.880216838,0.852333678,1.274280863,1.163182482,0.800317065,0.795945178,0.66724437,0.828429841,0.49077871,0.28958428,0.100262647,0.03602534,0.025887287
0.637355355,0.55493836,0.351509535,0.479594803,0.475327702,0.712613832,0.809572094,0.783692266,0.535519919,0.400472086,0.393694124,0.417881175,0.1890351,0.162053988,0.064063818,0.01939292
0.397170325,0.546271723,0.415084365,0.25780568,0.327048257,0.411583376,0.631442025,0.636573166,0.471731985,0.190053827,0.171185665,0.224056243,0.203671025,0.126619148,0.090145869,0.028770428
0.150853442,0.374437435,0.319485682,0.355308764,0.148276654,0.279244711,0.248199686,0.459955523,0.41033656,0.281805682,0.200797587,0.139897505,0.191638142,0.160254629,0.101699351,0.082883303
0.241605557,0.32403363,0.445811821,0.455265831,0.176084262,0.178848752,0.254450552,0.440681,0.398784625,0.326249726,0.282968265,0.143362836,0.067074302,0.129399213,0.093851964,0.034968899
